date,position,songname,artist,last week,peak position,weeks on chart
2017-03-04,2,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,3,2,10
2017-03-04,74,Look At Me!,XXXTENTACION,95,74,2
2017-03-04,88,Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,--,88,1
2017-03-04,93,It Ain't Me,Kygo x Selena Gomez,--,93,1
2017-02-11,92,Good Drank,2 Chainz x Gucci Mane x Quavo,--,92,1
2016-12-24,10,Bad Things,Machine Gun Kelly x Camila Cabello,17,4,6
2016-12-24,65,Black Barbies,Nicki Minaj X Mike WiLL Made-It,--,65,1
2016-10-08,57,Juju On Dat Beat (TZ Anthem),Zayion McCall Featuring Zay Hilfigerrr,--,57,1
2016-09-17,32,This Girl,Kungs vs Cookin' On 3 Burners,35,26,6
2016-09-10,94,Too Much Sauce,DJ ESCO Featuring Future &amp; Lil Uzi Vert,--,50,1
2016-08-20,97,Chill Bill,Rob $tone Featuring J. Davi$ &amp; Spooks,--,29,1
2016-07-16,22,For Free,DJ Khaled Featuring Drake,33,13,4
2016-07-16,30,All The Way Up,"Fat Joe, Remy Ma &amp; Jay Z Featuring French Montana &amp; Infared",34,27,14
2016-07-16,32,Sucker For Pain,"Lil Wayne, Wiz Khalifa &amp; Imagine Dragons With Logic, Ty Dolla $ign &amp; X Ambassadors",--,15,1
2016-07-16,33,Never Forget You,Zara Larsson &amp; MNEK,28,13,20
2016-07-16,41,"Me, Myself &amp; I",G-Eazy x Bebe Rexha,36,7,35
2016-07-16,48,Broccoli,D.R.A.M. Featuring Lil Yachty,65,5,3
2016-07-16,54,I Hate U I Love U,gnash Featuring Olivia O'Brien,55,10,11
2016-07-16,56,I Got The Keys,DJ Khaled Featuring JAY Z &amp; Future,--,30,1
2016-07-16,80,No Limit,Usher Featuring Young Thug,--,32,1
2016-07-16,87,Think Of You,Chris Young Duet With Cassadee Pope,84,40,20
2016-07-16,98,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",79,71,3
2016-07-09,86,What The World Needs Now Is Love,Broadway For Orlando,--,86,1
2016-03-19,12,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,--,4,1
2016-03-19,79,Hello Friday,Flo Rida Featuring Jason Derulo,--,79,1
2016-03-12,96,Panda,Desiigner,--,1,1
2015-05-30,53,Bad Blood,Taylor Swift Featuring Kendrick Lamar,--,1,3
2015-05-30,74,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne &amp; Big Sean",--,68,1
2015-05-30,77,Fun,Pitbull Featuring Chris Brown,--,40,1
2015-05-09,84,Make It Rain,Koryn Hawthorne,--,84,1
2015-03-14,98,Watch Me,Silento,--,3,1
2015-02-07,94,Somebody,Natalie La Rose Featuring Jeremih,--,10,1
2015-01-10,99,Shell Shocked,"Juicy J, Wiz Khalifa &amp; Ty Dolla $ign Featuring Kill The Noise &amp; Madsonik",--,84,3
2014-12-27,75,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,67,41,12
2014-12-27,85,She Knows,Ne-Yo Featuring Juicy J,91,19,4
2014-12-27,87,G.D.F.R.,Flo Rida Featuring Sage The Gemini &amp; Lookas,97,8,5
2014-12-27,88,Fireball,Pitbull Featuring John Ryan,72,23,19
2014-12-27,92,Body Language,Kid Ink Featuring Usher &amp; Tinashe,84,72,10
2014-12-27,93,Come Join The Murder,The White Buffalo &amp; The Forest Rangers,--,93,1
2014-12-27,96,Burnin' Up,Jessie J Featuring 2 Chainz,89,86,5
2014-12-20,100,Royals,Taylor John Williams,--,100,1
2014-12-06,92,Take Me To Church,Matt McAndrew,--,92,1
2014-11-15,54,Only,"Nicki Minaj Featuring Drake, Lil Wayne &amp; Chris Brown",--,12,1
2014-11-15,64,Try Me,DeJ Loaf,67,45,2
2014-11-08,35,Tuesday,I LOVE MAKONNEN Featuring Drake,62,12,5
2014-10-18,94,U Guessed It,OG Maco,--,94,1
2014-08-23,72,Hot Boy,Bobby Shmurda,96,6,2
2014-08-09,92,Happy Little Pill,Troye Sivan,--,92,1
2014-06-21,95,Wasted,Tiesto Featuring Matthew Koma,--,49,1
2014-05-31,98,Heaven,Jake Worthington,--,98,1
2014-05-17,68,Wiggle,Jason Derulo Featuring Snoop Dogg,--,5,1
2014-05-17,81,Bailando,Enrique Iglesias Featuring Descemer Bueno &amp; Gente de Zona,--,12,1
2014-05-17,97,My Eyes,Blake Shelton Featuring Gwen Sebastian,--,39,1
2014-03-01,80,Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,--,80,1
2014-02-08,85,El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,--,85,1
2013-12-28,87,Angel,Jacquie Lee,--,87,1
2013-12-28,89,My Story,R. Kelly Featuring 2 Chainz,--,89,1
2013-11-30,56,I Luv This Sh*t,August Alsina Featuing Trinidad James,59,48,11
2013-11-23,16,Say Something,A Great Big World Featuring Christina Aguilera,--,16,1
2013-11-23,59,I Luv This Sh*t,August Alsina &amp; Trinidad James,54,48,10
2013-11-23,72,A Case Of You,James Wolpert,--,72,1
2013-11-09,46,Can't Hold Us,Macklemore &amp; Ryan Lewis Featuring Ray Dalton,40,1,39
2013-11-09,56,White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,62,49,7
2013-11-09,68,Wait For A Minute,Tyga &amp; Justin Bieber,--,68,1
2013-11-02,29,Chinese Food,Alison Gold,--,29,1
2013-10-26,84,Make You Feel My Love,Glee Cast,--,84,1
2013-09-28,51,Stay The Night,Zedd featuring Hayley Williams Of Paramore,--,51,1
2013-09-28,70,23,"Mike Will Made It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",--,70,1
2013-09-14,42,Oh Sweet Lorraine,Green Shoe Studio Featuring Jacob Colgan &amp; Fred Stobaugh,--,42,1
2013-06-29,92,Sad,Amber Carrington,--,92,1
