artist,title,peak,date,year
Craig Wayne Boyd,"""My Baby's Got a Smile on Her Face""",34,3-Jan,2015
Milky Chance,"""Stolen Dance""",39,3-Jan,2015
Mark Ronson,"""Uptown Funk""",1,17-Jan,2015
Alesso,"""Heroes (We Could Be)""",31,24-Jan,2015
Vance Joy,"""Riptide""",30,31-Jan,2015
Ella Henderson,"""Ghost""",21,7-Mar,2015
Lilly Wood and the Prick,"""Prayer in C"" (Remix)",23,7-Mar,2015
Theophilus London and Allan Kingdom,"""All Day""",15,21-Mar,2015
Natalie La Rose,"""Somebody""",10,11-Apr,2015
Lookas,"""G.D.F.R.""",8,18-Apr,2015
T-Wayne,"""Nasty Freestyle""",9,16-May,2015
Walk the Moon,"""Shut Up and Dance""",4,30-May,2015
George Ezra,"""Budapest""",32,30-May,2015
Sawyer Fredericks,"""Please""",37,6-Jun,2015
Andy Grammer,"""Honey, I'm Good.""",9,20-Jun,2015
AlunaGeorge,"""You Know You Like It"" (Remix)",13,27-Jun,2015
Silent?,"""Watch Me""",3,18-Jul,2015
Jack ?,"""Where Are ? Now""",8,18-Jul,2015
OMI,"""Cheerleader"" (Remix)",1,25-Jul,2015
Monty,"""My Way""",7,8-Aug,2015
"Dove Cameron, Booboo Stewart, Sofia Carson and Cameron Boyce","""Rotten to the Core""",38,22-Aug,2015
Jidenna and Roman GianArthur,"""Classic Man""",22,5-Sep,2015
N.W.A,"""Straight Outta Compton""",38,5-Sep,2015
R. City,"""Locked Away""",6,3-Oct,2015
iHeartMemphis,"""Hit the Quan""",15,24-Oct,2015
Remy Boyz,"""679""",4,31-Oct,2015
"Eric Nally, Melle Mel and Grandmaster Caz","""Downtown""",12,31-Oct,2015
Disciples,"""How Deep Is Your Love""",27,14-Nov,2015
Elle King,"""Ex's & Oh's""",10,28-Nov,2015
Chris Stapleton,"""Tennessee Whiskey""",20,28-Nov,2015
Travis Scott,"""Antidote""",16,26-Dec,2015
Zendaya,"""Replay""",40,11-Jan,2014
Passenger,"""Let Her Go""",5,22-Feb,2014
David Nail,"""Whatever She's Got""",35,22-Feb,2014
Bastille,"""Pompeii""",5,15-Mar,2014
Soko,"""We Might Be Dead by Tomorrow""",9,29-Mar,2014
Aloe Blacc,"""The Man""",8,12-Apr,2014
American Authors,"""Best Day of My Life""",11,19-Apr,2014
Brantley Gilbert,"""Bottoms Up""",20,26-Apr,2014
Naughty Boy,"""La La La""",19,10-May,2014
Rixton,"""Me and My Broken Heart""",14,17-May,2014
G.R.L.,"""Wild Wild Love""",30,17-May,2014
Nico & Vinz,"""Am I Wrong""",4,5-Jul,2014
Gwen Sebastian,"""My Eyes""",39,5-Jul,2014
MKTO,"""Classic""",14,19-Jul,2014
Magic!,"""Rude""",1,26-Jul,2014
Kongos,"""Come with Me Now""",31,26-Jul,2014
Disclosure,"""Latch""",7,9-Aug,2014
Becky G,"""Shower""",16,9-Aug,2014
Tinashe,"""2 On""",24,9-Aug,2014
BJ the Chicago Kid,"""Studio""",38,9-Aug,2014
Descemer Bueno and Gente de Zona,"""Bailando""",12,23-Aug,2014
