date,position,songname,artist,last week,peak position,weeks on chart
2017-03-04,1,Shape Of You,Ed Sheeran,1,1,6
2017-03-04,2,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,3,2,10
2017-03-04,3,Bad And Boujee,Migos Featuring Lil Uzi Vert,2,1,14
2017-03-04,4,Chained To The Rhythm,Katy Perry Featuring Skip Marley,--,4,1
2017-03-04,5,Closer,The Chainsmokers Featuring Halsey,7,1,29
2017-03-04,6,Bad Things,Machine Gun Kelly x Camila Cabello,5,4,16
2017-03-04,7,That's What I Like,Bruno Mars,37,4,5
2017-03-04,8,Love On The Brain,Rihanna,13,7,18
2017-03-04,9,I Feel It Coming,The Weeknd Featuring Daft Punk,16,9,13
2017-03-04,10,Bounce Back,Big Sean,6,6,15
2017-03-04,11,Paris,The Chainsmokers,10,6,5
2017-03-04,12,Fake Love,Drake,11,8,17
2017-03-04,13,24K Magic,Bruno Mars,15,4,19
2017-03-04,14,Starboy,The Weeknd Featuring Daft Punk,12,1,22
2017-03-04,15,Scars To Your Beautiful,Alessia Cara,8,8,25
2017-03-04,16,Black Beatles,Rae Sremmurd Featuring Gucci Mane,14,1,23
2017-03-04,17,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,9,6,19
2017-03-04,18,Million Reasons,Lady Gaga,4,4,13
2017-03-04,19,Mercy,Shawn Mendes,19,17,22
2017-03-04,20,iSpy,KYLE Featuring Lil Yachty,28,20,8
2017-03-04,21,Caroline,Amine,17,11,24
2017-03-04,22,Rockabye,Clean Bandit Featuring Sean Paul &amp; Anne-Marie,23,21,11
2017-03-04,23,Say You Won't Let Go,James Arthur,27,23,17
2017-03-04,24,Side To Side,Ariana Grande Featuring Nicki Minaj,18,4,25
2017-03-04,25,Can't Stop The Feeling!,Justin Timberlake,25,1,41
2017-03-04,26,All Time Low,Jon Bellion,24,16,19
2017-03-04,27,Body Like A Back Road,Sam Hunt,21,21,3
2017-03-04,28,Let Me Love You,DJ Snake Featuring Justin Bieber,20,4,28
2017-03-04,29,T-Shirt,Migos,26,19,5
2017-03-04,30,Down,Marian Hill,31,25,5
2017-03-04,31,Water Under The Bridge,Adele,30,26,15
2017-03-04,32,Heathens,twenty one pilots,29,2,35
2017-03-04,33,Congratulations,Post Malone Featuring Quavo,39,33,8
2017-03-04,34,Issues,Julia Michaels,41,33,4
2017-03-04,35,Better Man,Little Big Town,40,34,16
2017-03-04,36,Treat You Better,Shawn Mendes,36,6,37
2017-03-04,37,Broccoli,D.R.A.M. Featuring Lil Yachty,35,5,36
2017-03-04,38,This Town,Niall Horan,33,20,21
2017-03-04,39,Dirt On My Boots,Jon Pardi,46,39,11
2017-03-04,40,Starving,Hailee Steinfeld &amp; Grey Featuring Zedd,34,12,29
2017-03-04,41,Party,Chris Brown Featuring Usher &amp; Gucci Mane,48,40,9
2017-03-04,42,Cold,Maroon 5 Featuring Future,--,23,1
2017-03-04,43,I Got You,Bebe Rexha,56,43,7
2017-03-04,44,Location,Khalid,52,44,6
2017-03-04,45,Moves,Big Sean,38,38,8
2017-03-04,46,Make Me (Cry),Noah Cyrus Featuring Labrinth,47,46,10
2017-03-04,47,Sober Saturday Night,Chris Young Featuring Vince Gill,66,47,7
2017-03-04,48,Juju On That Beat (TZ Anthem),Zay Hilfigerrr &amp; Zayion McCall,42,5,21
2017-03-04,49,Both,Gucci Mane Featuring Drake,53,41,9
2017-03-04,50,Deja Vu,J. Cole,51,7,10
2017-03-04,51,Love Me Now,John Legend,45,23,17
2017-03-04,52,Castle On The Hill,Ed Sheeran,62,6,6
2017-03-04,53,The Fighter,Keith Urban Featuring Carrie Underwood,--,53,2
2017-03-04,54,Bom Bidi Bom,Nick Jonas &amp; Nicki Minaj,--,54,1
2017-03-04,55,Despacito,Luis Fonsi Featuring Daddy Yankee,61,55,5
2017-03-04,56,Think A Little Less,Michael Ray,63,56,8
2017-03-04,57,Swang,Rae Sremmurd,77,35,9
2017-03-04,58,Party Monster,The Weeknd,60,16,13
2017-03-04,59,Play That Song,Train,59,41,12
2017-03-04,60,Used To This,Future Featuring Drake,57,14,15
2017-03-04,61,Goosebumps,Travis Scott,65,51,15
2017-03-04,62,Shining,DJ Khaled Featuring Beyonce &amp; JAY Z,--,57,1
2017-03-04,63,No Favors,Big Sean Featuring Eminem,22,22,2
2017-03-04,64,Star Of The Show,Thomas Rhett,58,45,16
2017-03-04,65,Seein' Red,Dustin Lynch,55,55,8
2017-03-04,66,Believer,Imagine Dragons,43,43,2
2017-03-04,67,Today,Brad Paisley,75,67,7
2017-03-04,68,Guys My Age,Hey Violet,69,68,4
2017-03-04,69,A Guy With A Girl,Blake Shelton,64,42,14
2017-03-04,70,Call On Me,Starley,72,70,7
2017-03-04,71,Helium,Sia,--,71,1
2017-03-04,72,Fast,Luke Bryan,80,72,4
2017-03-04,73,Kill A Word,Eric Church Featuring Rhiannon Giddens,78,71,10
2017-03-04,74,Look At Me!,XXXTENTACION,95,74,2
2017-03-04,75,In Case You Didn't Know,Brett Young,94,75,2
2017-03-04,76,Any Ol' Barstool,Jason Aldean,84,73,4
2017-03-04,77,Heroe Favorito,Romeo Santos,--,77,1
2017-03-04,78,Chantaje,Shakira Featuring Maluma,67,51,14
2017-03-04,79,Slippery,Migos Featuring Gucci Mane,73,48,3
2017-03-04,80,The Weekend,Brantley Gilbert,79,69,7
2017-03-04,81,Way Down We Go,Kaleo,71,54,8
2017-03-04,82,No Heart,21 Savage &amp; Metro Boomin,81,43,17
2017-03-04,83,Not Nice,PARTYNEXTDOOR,82,82,5
2017-03-04,84,Everything 1K,Kodak Black,--,84,1
2017-03-04,85,Everyday,Ariana Grande Featuring Future,--,78,1
