12/29/07,1,No One,Alicia Keys,1,1,15,pop,FALSE
12/29/07,2,Low,Flo Rida Featuring T-Pain,3,1,8,hip-hop,FALSE
12/29/07,3,Apologize,Timbaland Featuring OneRepublic,2,2,20,pop,FALSE
12/29/07,4,Kiss Kiss,Chris Brown Featuring T-Pain,4,1,14,hip-hop,FALSE
12/29/07,5,Clumsy,Fergie,5,5,10,pop,FALSE
12/29/07,6,Bubbly,Colbie Caillat,6,5,25,pop,FALSE
12/29/07,7,Paralyzer,Finger Eleven,8,6,28,rock,FALSE
12/29/07,8,Tattoo,Jordin Sparks,10,8,12,pop,FALSE
12/29/07,9,Hate That I Love You,Rihanna Featuring Ne-Yo,7,7,16,pop,FALSE
12/29/07,10,Good Life,Kanye West Featuring T-Pain,9,7,14,hip-hop,FALSE
12/29/07,11,Crank That (Soulja Boy),Soulja Boy Tell'em,11,1,23,rap,FALSE
12/29/07,12,Cyclone,Baby Bash Featuring T-Pain,12,7,21,hip-hop,FALSE
12/29/07,13,Like You'll Never See Me Again,Alicia Keys,19,12,6,pop,FALSE
12/29/07,14,Hypnotized,Plies Featuring Akon,16,14,12,rap,FALSE
12/29/07,15,Can't Help But Wait,Trey Songz,14,14,13,r&b,FALSE
12/29/07,16,Love Song,Sara Bareilles,72,4,7,pop,FALSE
12/29/07,17,Stronger,Kanye West,13,1,21,hip-hop,FALSE
12/29/07,18,Take You There,Sean Kingston,21,7,7,hip-hop,FALSE
12/29/07,19,Love Like This,Natasha Bedingfield Featuring Sean Kingston,18,11,9,pop,FALSE
12/29/07,20,The Way I Are,Timbaland Featuring Keri Hilson,17,3,29,hip-hop,FALSE
12/29/07,21,Our Song,Taylor Swift,22,16,12,country,FALSE
12/29/07,22,Duffle Bag Boy,Playaz Circle Featuring Lil Wayne,15,15,13,rap,TRUE
12/29/07,23,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne &amp; Niia",20,12,14,hip-hop,TRUE
12/29/07,24,Teardrops On My Guitar,Taylor Swift,30,13,28,country,FALSE
12/29/07,25,With You,Chris Brown,40,2,3,hip-hop,FALSE
12/29/07,26,Just Fine,Mary J. Blige,29,22,9,pop,FALSE
12/29/07,27,How Far We've Come,matchbox twenty,25,11,16,rock,FALSE
